NO_DEBLOCK,NO_FAST_PSKIP,NO_MBTREE,NO_MIXED_REFS,NO_WEIGHTB,--rc-lookahead-20,--rc-lookahead-40,--rc-lookahead-60,A,B,C,worker_id,PERF
0,0,0,0,0,1,0,0,1,0,0,75,23.11
0,0,0,0,0,0,1,0,1,0,0,75,23.225
0,0,0,0,0,0,0,1,1,0,0,75,23.31
0,0,0,0,0,1,0,0,0,1,0,75,41.51
0,0,0,0,0,0,1,0,0,1,0,75,41.73
0,0,0,0,0,0,0,1,0,1,0,75,41.66
0,0,0,0,0,1,0,0,0,0,1,75,57.00666667
0,0,0,0,0,0,1,0,0,0,1,75,57.14
0,0,0,0,0,0,0,1,0,0,1,75,57.27
0,0,0,0,1,0,1,0,1,0,0,75,23.205
0,0,0,0,1,1,0,0,0,1,0,75,41.43
0,0,0,0,1,0,1,0,0,0,1,75,57.21
0,0,0,0,1,0,0,1,0,0,1,75,57.41
0,0,0,1,0,0,1,0,1,0,0,75,23.22
0,0,0,1,0,0,0,1,1,0,0,75,23.31
0,0,0,1,0,1,0,0,0,1,0,75,31.90333333
0,0,0,1,0,0,1,0,0,1,0,75,32.02
0,0,0,1,0,0,0,1,0,1,0,75,32.01
0,0,0,1,0,1,0,0,0,0,1,75,41.65
0,0,0,1,0,0,0,1,0,0,1,75,41.62
0,0,0,1,1,1,0,0,1,0,0,75,23.095
0,0,0,1,1,0,1,0,1,0,0,75,23.21
0,0,0,1,1,0,0,1,1,0,0,75,23.295
0,0,0,1,1,1,0,0,0,1,0,75,31.99
0,0,0,1,1,0,0,1,0,1,0,75,32.15
0,0,0,1,1,0,1,0,0,0,1,75,41.565
0,0,1,0,0,0,0,1,1,0,0,75,28.9475
0,0,1,0,0,0,1,0,0,1,0,75,54.41666667
0,0,1,0,0,0,1,0,0,0,1,75,75.77
0,0,1,0,0,1,0,0,0,0,1,75,76
0,0,1,0,0,0,0,1,0,0,1,75,75.93
0,0,1,0,1,0,1,0,1,0,0,75,28.95333333
0,0,1,0,1,1,0,0,0,0,1,75,75.89
0,0,1,0,1,0,1,0,0,0,1,75,76.105
0,0,1,1,0,1,0,0,1,0,0,75,28.95
