workload_id,machine_id,io_scheduler,disk_type,block_size,bg_count,inode_size,file_system,throughput
1,6,0,0,2048,12,1024,ext4,16884.0
1,6,0,1,2048,12,1024,ext4,17215.666666666668
1,6,0,2,2048,12,1024,ext4,16556.333333333332
1,6,0,3,2048,12,1024,ext4,17177.333333333332
1,6,1,0,2048,12,1024,ext4,17161.0
1,6,1,1,2048,12,1024,ext4,17437.666666666668
1,6,1,2,2048,12,1024,ext4,16959.333333333332
1,6,1,3,2048,12,1024,ext4,17475.666666666668
1,6,2,0,2048,12,1024,ext4,17052.666666666668
1,6,2,1,2048,12,1024,ext4,17479.0
1,6,2,2,2048,12,1024,ext4,16874.333333333332
1,6,2,3,2048,12,1024,ext4,17520.333333333332
4,6,0,0,2048,2,256,ext4,15728.0
4,6,0,0,2048,2,512,ext4,15654.0
4,6,0,0,2048,4,256,ext4,15734.333333333336
4,6,0,0,2048,4,512,ext4,15830.333333333336
4,6,0,0,2048,8,256,ext4,15706.333333333336
4,6,0,0,2048,8,512,ext4,15728.666666666664
4,6,0,0,2048,12,256,ext4,15774.666666666664
4,6,0,0,2048,12,512,ext4,15687.666666666664
4,6,0,0,2048,16,128,ext4,15846.166666666664
4,6,0,0,2048,16,256,ext4,15727.333333333336
4,6,0,0,2048,16,512,ext4,15779.0
4,6,0,0,4096,2,256,ext4,15829.0
4,6,0,0,4096,2,512,ext4,15679.666666666664
4,6,0,0,4096,2,1024,ext4,15895.333333333336
4,6,0,0,4096,4,256,ext4,15716.0
4,6,0,0,4096,4,512,ext4,15715.333333333336
4,6,0,0,4096,4,1024,ext4,15980.0
4,6,0,0,4096,8,256,ext4,15812.666666666664
4,6,0,0,4096,8,512,ext4,15770.666666666664
4,6,0,0,4096,8,1024,ext4,15847.333333333336
4,6,0,0,4096,12,256,ext4,15753.333333333336
4,6,0,0,4096,12,512,ext4,15791.333333333336
4,6,0,0,4096,12,1024,ext4,15849.0
4,6,0,0,4096,12,2048,ext4,15757.666666666664
4,6,0,0,4096,16,128,ext4,16014.666666666664
4,6,0,0,4096,16,256,ext4,15755.333333333336
4,6,0,0,4096,16,512,ext4,15760.0
4,6,0,0,4096,16,1024,ext4,15964.666666666664
4,6,0,0,4096,32,128,ext4,15956.166666666664
4,6,0,0,4096,32,256,ext4,15675.0
4,6,0,0,4096,32,512,ext4,15766.666666666664
4,6,0,0,4096,32,1024,ext4,15955.333333333336
4,6,0,1,2048,2,256,ext4,15800.0
4,6,0,1,2048,2,512,ext4,15707.333333333336
4,6,0,1,2048,4,256,ext4,15861.666666666664
4,6,0,1,2048,4,512,ext4,15738.666666666664
4,6,0,1,2048,8,256,ext4,15789.333333333336
4,6,0,1,2048,8,512,ext4,15824.666666666664
4,6,0,1,2048,12,256,ext4,15864.666666666664
4,6,0,1,2048,12,512,ext4,15810.333333333336
4,6,0,1,2048,16,128,ext4,15863.5
4,6,0,1,2048,16,256,ext4,15792.333333333336
4,6,0,1,2048,16,512,ext4,15777.666666666664
4,6,0,1,4096,2,256,ext4,15764.333333333336
4,6,0,1,4096,2,512,ext4,15868.333333333336
4,6,0,1,4096,2,1024,ext4,15960.666666666664
4,6,0,1,4096,4,256,ext4,15914.333333333336
4,6,0,1,4096,4,512,ext4,15770.0
4,6,0,1,4096,4,1024,ext4,15981.0
4,6,0,1,4096,8,256,ext4,15697.0
4,6,0,1,4096,8,512,ext4,15790.0
4,6,0,1,4096,8,1024,ext4,15918.0
4,6,0,1,4096,12,256,ext4,15781.0
4,6,0,1,4096,12,512,ext4,15803.666666666664
4,6,0,1,4096,12,1024,ext4,16061.0
4,6,0,1,4096,12,2048,ext4,15766.666666666664
4,6,0,1,4096,16,256,ext4,15887.666666666664
4,6,0,1,4096,16,512,ext4,15956.0
4,6,0,1,4096,16,1024,ext4,15903.666666666664
4,6,0,1,4096,32,128,ext4,15937.333333333336
4,6,0,1,4096,32,256,ext4,15800.666666666664
4,6,0,1,4096,32,512,ext4,15826.333333333336
4,6,0,1,4096,32,1024,ext4,16000.0
4,6,0,2,2048,2,256,ext4,15787.0
4,6,0,2,2048,2,512,ext4,15792.0
4,6,0,2,2048,4,256,ext4,15792.0
4,6,0,2,2048,4,512,ext4,15790.666666666664
4,6,0,2,2048,8,256,ext4,15750.666666666664
4,6,0,2,2048,8,512,ext4,15743.333333333336
4,6,0,2,2048,12,256,ext4,15783.0
4,6,0,2,2048,12,512,ext4,15725.666666666664
4,6,0,2,2048,16,128,ext4,15837.166666666664
4,6,0,2,2048,16,256,ext4,15749.0
4,6,0,2,2048,16,512,ext4,15837.333333333336
4,6,0,2,4096,2,256,ext4,15782.333333333336
4,6,0,2,4096,2,512,ext4,15765.0
4,6,0,2,4096,2,1024,ext4,15937.333333333336
4,6,0,2,4096,4,256,ext4,15724.0
4,6,0,2,4096,4,512,ext4,15739.666666666664
4,6,0,2,4096,4,1024,ext4,15825.666666666664
4,6,0,2,4096,8,256,ext4,15863.0
4,6,0,2,4096,8,512,ext4,15778.666666666664
4,6,0,2,4096,8,1024,ext4,15868.0
4,6,0,2,4096,12,256,ext4,15844.333333333336
4,6,0,2,4096,12,512,ext4,15868.333333333336
4,6,0,2,4096,12,1024,ext4,15944.666666666664
4,6,0,2,4096,12,2048,ext4,15763.333333333336
4,6,0,2,4096,16,256,ext4,15902.666666666664
4,6,0,2,4096,16,512,ext4,16074.666666666664
4,6,0,2,4096,16,1024,ext4,15878.0
4,6,0,2,4096,32,128,ext4,15957.0
4,6,0,2,4096,32,256,ext4,15676.0
4,6,0,2,4096,32,512,ext4,15860.333333333336
4,6,0,2,4096,32,1024,ext4,15905.0
4,6,0,3,2048,2,256,ext4,15705.333333333336
4,6,0,3,2048,2,512,ext4,15717.666666666664
4,6,0,3,2048,4,256,ext4,15736.666666666664
4,6,0,3,2048,4,512,ext4,15763.0
4,6,0,3,2048,8,256,ext4,15732.666666666664
4,6,0,3,2048,8,512,ext4,15913.666666666664
4,6,0,3,2048,12,256,ext4,15935.666666666664
4,6,0,3,2048,12,512,ext4,15701.0
4,6,0,3,2048,16,128,ext4,15882.0
4,6,0,3,2048,16,256,ext4,15792.333333333336
4,6,0,3,2048,16,512,ext4,15769.666666666664
4,6,0,3,4096,2,256,ext4,15912.666666666664
4,6,0,3,4096,2,512,ext4,15808.666666666664
4,6,0,3,4096,2,1024,ext4,15799.333333333336
4,6,0,3,4096,4,256,ext4,15803.333333333336
4,6,0,3,4096,4,512,ext4,15808.0
4,6,0,3,4096,4,1024,ext4,15820.0
4,6,0,3,4096,8,256,ext4,15948.666666666664
4,6,0,3,4096,8,512,ext4,15832.666666666664
4,6,0,3,4096,8,1024,ext4,15971.0
4,6,0,3,4096,12,256,ext4,15793.0
4,6,0,3,4096,12,512,ext4,15849.0
4,6,0,3,4096,12,1024,ext4,15980.0
4,6,0,3,4096,12,2048,ext4,15799.666666666664
4,6,0,3,4096,16,256,ext4,15769.666666666664
4,6,0,3,4096,16,512,ext4,15744.666666666664
4,6,0,3,4096,16,1024,ext4,16046.333333333336
4,6,0,3,4096,32,128,ext4,16007.5
4,6,0,3,4096,32,256,ext4,15842.666666666664
4,6,0,3,4096,32,512,ext4,15890.0
4,6,0,3,4096,32,1024,ext4,15996.333333333336
4,6,1,0,2048,2,256,ext4,15700.333333333336
4,6,1,0,2048,2,512,ext4,15690.0
4,6,1,0,2048,4,256,ext4,15655.0
4,6,1,0,2048,4,512,ext4,15839.0
4,6,1,0,2048,8,256,ext4,15709.666666666664
4,6,1,0,2048,8,512,ext4,15880.0
4,6,1,0,2048,12,256,ext4,15897.333333333336
4,6,1,0,2048,12,512,ext4,15887.666666666664
4,6,1,0,2048,16,128,ext4,15840.0
4,6,1,0,2048,16,256,ext4,15745.333333333336
4,6,1,0,2048,16,512,ext4,15833.0
4,6,1,0,4096,2,256,ext4,15680.666666666664
4,6,1,0,4096,2,512,ext4,15757.0
4,6,1,0,4096,2,1024,ext4,15893.333333333336
4,6,1,0,4096,4,256,ext4,15693.666666666664
4,6,1,0,4096,4,512,ext4,15708.666666666664
4,6,1,0,4096,4,1024,ext4,15993.333333333336
4,6,1,0,4096,8,256,ext4,15795.666666666664
4,6,1,0,4096,8,512,ext4,15780.666666666664
4,6,1,0,4096,8,1024,ext4,15943.333333333336
4,6,1,0,4096,12,256,ext4,15745.666666666664
4,6,1,0,4096,12,512,ext4,15850.333333333336
4,6,1,0,4096,12,1024,ext4,15835.333333333336
4,6,1,0,4096,12,2048,ext4,15639.333333333336
4,6,1,0,4096,16,128,ext4,15975.333333333336
4,6,1,0,4096,16,256,ext4,15865.0
4,6,1,0,4096,16,512,ext4,15932.0
4,6,1,0,4096,16,1024,ext4,15903.333333333336
4,6,1,0,4096,32,128,ext4,15978.0
4,6,1,0,4096,32,256,ext4,15649.666666666664
4,6,1,0,4096,32,512,ext4,15748.333333333336
4,6,1,0,4096,32,1024,ext4,15967.0
4,6,1,1,2048,2,256,ext4,15744.0
4,6,1,1,2048,2,512,ext4,15822.333333333336
4,6,1,1,2048,4,256,ext4,15731.0
4,6,1,1,2048,4,512,ext4,15725.333333333336
4,6,1,1,2048,8,256,ext4,15741.0
4,6,1,1,2048,8,512,ext4,15802.333333333336
4,6,1,1,2048,12,256,ext4,15935.333333333336
4,6,1,1,2048,12,512,ext4,15697.333333333336
4,6,1,1,2048,16,128,ext4,15782.0
4,6,1,1,2048,16,256,ext4,15749.0
4,6,1,1,2048,16,512,ext4,15811.0
4,6,1,1,4096,2,256,ext4,15840.666666666664
4,6,1,1,4096,2,512,ext4,15829.0
4,6,1,1,4096,2,1024,ext4,15979.333333333336
4,6,1,1,4096,4,256,ext4,15717.666666666664
4,6,1,1,4096,4,512,ext4,15795.333333333336
