Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.1,1,1,6.678571429
Blade,0.1,1,2,14.856
Blade,0.1,1,4,24.51724138
Blade,0.1,1,8,26.867
Blade,0.1,1,16,28.14366667
Blade,0.1,1,32,28.15566667
Blade,0.1,1,48,27.86633333
Blade,0.1,2,1,6.733333333
Blade,0.1,2,2,14.88866667
Blade,0.1,2,4,24.40033333
Blade,0.1,2,8,27.6
Blade,0.1,2,16,27.88933333
Blade,0.1,2,32,28.05633333
Blade,0.1,2,48,28.123
Blade,0.1,4,1,6.578333333
Blade,0.1,4,2,14.922
Blade,0.1,4,4,24.60133333
Blade,0.1,4,8,27.41448276
Blade,0.1,4,16,28.02166667
Blade,0.1,4,32,28.12689655
Blade,0.1,4,48,28.44433333
Blade,0.1,8,1,6.444
Blade,0.1,8,2,14.66666667
Blade,0.1,8,4,23.844
Blade,0.1,8,8,26.93333333
Blade,0.1,8,16,27.83965517
Blade,0.1,8,32,27.46666667
Blade,0.1,8,48,27.5
Blade,0.1,16,1,6.46
Blade,0.1,16,2,14.34433333
Blade,0.1,16,4,22.98866667
Blade,0.1,16,8,25.98833333
Blade,0.1,16,16,26.588
Blade,0.1,16,32,26.411
Blade,0.1,16,48,26.86633333
Blade,0.1,32,1,7.511333333
Blade,0.1,32,2,17.11517241
Blade,0.1,32,4,29.39966667
Blade,0.1,32,8,32.91033333
Blade,0.1,32,16,33.53366667
Blade,0.1,32,32,34.11133333
Blade,0.1,32,48,34.39966667
Blade,0.1,64,1,7.6
Blade,0.1,64,2,18.88966667
Blade,0.1,64,4,33.744
Blade,0.1,64,8,37.76633333
Blade,0.1,64,16,39.378
Blade,0.1,64,32,38.92233333
Blade,0.1,64,48,39.2
Blade,0.1,128,1,7.777333333
Blade,0.1,128,2,19.47866667
Blade,0.1,128,4,36.4
Blade,0.1,128,8,41.03366667
Blade,0.1,128,16,41.79966667
Blade,0.1,128,32,41.84366667
Blade,0.1,128,48,42.33266667
Blade,0.1,256,1,7.36862069
Blade,0.1,256,2,20.36733333
Blade,0.1,256,4,39.234
Blade,0.1,256,8,45.37833333
Blade,0.1,256,16,46.05566667
Blade,0.1,256,32,46.923
Blade,0.1,256,48,47.244
Blade,0.1,512,1,7.866666667
Blade,0.1,512,2,19.611
Blade,0.1,512,4,38.93166667
Blade,0.1,512,8,44.566
Blade,0.1,512,16,46.73366667
Blade,0.1,512,32,47.23
Blade,0.1,512,48,47.067
Blade,0.1,1024,1,10.289
Blade,0.1,1024,2,24.622
Blade,0.1,1024,4,40.99933333
Blade,0.1,1024,8,48.26666667
Blade,0.1,1024,16,49.27733333
Blade,0.1,1024,32,49.92133333
Blade,0.1,1024,48,50.31068966
Blade,0.25,1,1,7.234
Blade,0.25,1,2,16.733
Blade,0.25,1,4,44.46
Blade,0.25,1,8,75.56666667
Blade,0.25,1,16,81.3
Blade,0.25,1,32,81.47733333
Blade,0.25,1,48,81.83366667
Blade,0.25,2,1,7.278
Blade,0.25,2,2,16.31
Blade,0.25,2,4,44.16633333
Blade,0.25,2,8,75.44827586
Blade,0.25,2,16,81.57766667
Blade,0.25,2,32,81.033
Blade,0.25,2,48,81.06733333
Blade,0.25,4,1,7.156333333
Blade,0.25,4,2,16.645
Blade,0.25,4,4,43.97733333
Blade,0.25,4,8,75.65566667
Blade,0.25,4,16,81.556
Blade,0.25,4,32,81.58933333
Blade,0.25,4,48,82.28933333
Blade,0.25,8,1,6.978
Blade,0.25,8,2,16.55533333
Blade,0.25,8,4,43.867
Blade,0.25,8,8,77.03482759
Blade,0.25,8,16,83.23333333
Blade,0.25,8,32,83.73482759
Blade,0.25,8,48,83.245
Blade,0.25,16,1,6.778666667
Blade,0.25,16,2,16.167
Blade,0.25,16,4,43.40275862
Blade,0.25,16,8,77.333
Blade,0.25,16,16,81.73333333
Blade,0.25,16,32,83.73233333
Blade,0.25,16,48,83.21166667
Blade,0.25,32,1,8.022333333
Blade,0.25,32,2,19.01066667
Blade,0.25,32,4,55.566
Blade,0.25,32,8,93.91066667
Blade,0.25,32,16,100.1446667
Blade,0.25,32,32,100.0443333
Blade,0.25,32,48,101.0443333
Blade,0.25,64,1,8.389666667
Blade,0.25,64,2,21.46633333
Blade,0.25,64,4,68.14827586
Blade,0.25,64,8,109.045
Blade,0.25,64,16,117.1773333
Blade,0.25,64,32,117.166
Blade,0.25,64,48,116.611
Blade,0.25,128,1,8.122666667
Blade,0.25,128,2,23.855
