Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.1,1,1,4.945333333
Blade,0.1,1,2,12.011
Blade,0.1,1,4,20.02233333
Blade,0.1,1,8,22.712
Blade,0.1,1,16,23.49966667
Blade,0.1,1,32,23.49
Blade,0.1,1,48,23.56733333
Blade,0.1,2,1,4.977333333
Blade,0.1,2,2,12.211
Blade,0.1,2,4,20.13333333
Blade,0.1,2,8,22.72166667
Blade,0.1,2,16,23.36733333
Blade,0.1,2,32,23.29933333
Blade,0.1,2,48,23.67793103
Blade,0.1,4,1,4.953448276
Blade,0.1,4,2,12.255
Blade,0.1,4,4,20.289
Blade,0.1,4,8,22.811
Blade,0.1,4,16,23.51166667
Blade,0.1,4,32,23.311
Blade,0.1,4,48,23.47137931
Blade,0.1,8,1,4.821666667
Blade,0.1,8,2,11.94533333
Blade,0.1,8,4,20.05566667
Blade,0.1,8,8,22.07733333
Blade,0.1,8,16,22.978
Blade,0.1,8,32,23.033
Blade,0.1,8,48,23.088
Blade,0.1,16,1,4.866333333
Blade,0.1,16,2,11.85533333
Blade,0.1,16,4,19.43366667
Blade,0.1,16,8,21.84433333
Blade,0.1,16,16,22.06666667
Blade,0.1,16,32,22.46733333
Blade,0.1,16,48,22.55633333
Blade,0.1,32,1,5.378333333
Blade,0.1,32,2,13.544
Blade,0.1,32,4,23.689
Blade,0.1,32,8,26.97833333
Blade,0.1,32,16,27.63233333
Blade,0.1,32,32,27.7
Blade,0.1,32,48,27.73366667
Blade,0.1,64,1,5.1
Blade,0.1,64,2,13.44433333
Blade,0.1,64,4,24.38866667
Blade,0.1,64,8,27.85566667
Blade,0.1,64,16,28.98866667
Blade,0.1,64,32,28.63333333
Blade,0.1,64,48,28.57833333
Blade,0.1,128,1,5.233
Blade,0.1,128,2,12.41066667
Blade,0.1,128,4,23.14433333
Blade,0.1,128,8,26.323
Blade,0.1,128,16,27.056
Blade,0.1,128,32,27.14366667
Blade,0.1,128,48,27.21133333
Blade,0.1,256,1,5.044
Blade,0.1,256,2,11.944
Blade,0.1,256,4,21.60033333
Blade,0.1,256,8,23.87733333
Blade,0.1,256,16,25.888
Blade,0.1,256,32,26.06633333
Blade,0.1,256,48,24.979
Blade,0.1,512,1,4.989333333
Blade,0.1,512,2,12.06666667
Blade,0.1,512,4,21.91133333
Blade,0.1,512,8,25.22166667
Blade,0.1,512,16,25.934
Blade,0.1,512,32,26.38833333
Blade,0.1,512,48,26.50033333
Blade,0.1,1024,1,6.633333333
Blade,0.1,1024,2,14.756
Blade,0.1,1024,4,23.27733333
Blade,0.1,1024,8,26.96586207
Blade,0.1,1024,16,28.04551724
Blade,0.1,1024,32,28.10066667
Blade,0.1,1024,48,27.95413793
Blade,0.25,1,1,5.410666667
Blade,0.25,1,2,13.09966667
Blade,0.25,1,4,29.40033333
Blade,0.25,1,8,54.02266667
Blade,0.25,1,16,63.544
Blade,0.25,1,32,64.63333333
Blade,0.25,1,48,65.20066667
Blade,0.25,2,1,5.166666667
Blade,0.25,2,2,12.945
Blade,0.25,2,4,29.83333333
Blade,0.25,2,8,54.56633333
Blade,0.25,2,16,64.25633333
Blade,0.25,2,32,64.86633333
Blade,0.25,2,48,64.64466667
Blade,0.25,4,1,5.222
Blade,0.25,4,2,13.03266667
Blade,0.25,4,4,29.644
Blade,0.25,4,8,55.032
Blade,0.25,4,16,64.156
Blade,0.25,4,32,64.68931034
Blade,0.25,4,48,64.94433333
Blade,0.25,8,1,5.433
Blade,0.25,8,2,12.96566667
Blade,0.25,8,4,29.23333333
Blade,0.25,8,8,53.81066667
Blade,0.25,8,16,63.31033333
Blade,0.25,8,32,64.51724138
Blade,0.25,8,48,64.345
Blade,0.25,16,1,5.011666667
Blade,0.25,16,2,12.567
Blade,0.25,16,4,28.912
Blade,0.25,16,8,52.29933333
Blade,0.25,16,16,62.02275862
Blade,0.25,16,32,62.01066667
Blade,0.25,16,48,62.00066667
Blade,0.25,32,1,5.689666667
Blade,0.25,32,2,14.555
Blade,0.25,32,4,34.522
Blade,0.25,32,8,65.045
Blade,0.25,32,16,77.68866667
Blade,0.25,32,32,78.65551724
Blade,0.25,32,48,78.78833333
Blade,0.25,64,1,5.521333333
Blade,0.25,64,2,15.057
Blade,0.25,64,4,37.43333333
Blade,0.25,64,8,72.56633333
Blade,0.25,64,16,87.03433333
Blade,0.25,64,32,88.22266667
Blade,0.25,64,48,88.26633333
Blade,0.25,128,1,5.644333333
Blade,0.25,128,2,14.44862069
Blade,0.25,128,4,38.64466667
Blade,0.25,128,8,78.44466667
Blade,0.25,128,16,93.522
Blade,0.25,128,32,94.36633333
Blade,0.25,128,48,94.85533333
Blade,0.25,256,1,5.599333333
Blade,0.25,256,2,14.41166667
Blade,0.25,256,4,38.24466667
Blade,0.25,256,8,77.778
Blade,0.25,256,16,93.711
Blade,0.25,256,32,94.65533333
Blade,0.25,256,48,94.833
Blade,0.25,512,1,5.577333333
Blade,0.25,512,2,14.93137931
Blade,0.25,512,4,38.97766667
Blade,0.25,512,8,84.833
Blade,0.25,512,16,101.9223333
Blade,0.25,512,32,101.6223333
Blade,0.25,512,48,101.9775862
Blade,0.25,1024,1,7.470344828
Blade,0.25,1024,2,18.511
Blade,0.25,1024,4,42.16068966
Blade,0.25,1024,8,86.38933333
Blade,0.25,1024,16,105.7436667
Blade,0.25,1024,32,106.2003333
Blade,0.25,1024,48,106.322
Blade,0.5,1,1,5.355666667
