Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Gateway,0.05,1,1,9.999
Gateway,0.05,1,2,14.433
Gateway,0.05,1,4,16.301
Gateway,0.05,1,8,17.698
Gateway,0.05,1,16,17.934
Gateway,0.05,1,32,17.469
Gateway,0.05,1,48,17.799
Gateway,0.05,2,1,10.867
Gateway,0.05,2,2,14.334
Gateway,0.05,2,4,16.101
Gateway,0.05,2,8,16.766
Gateway,0.05,2,16,17.634
Gateway,0.05,2,32,17.299
Gateway,0.05,2,48,16.966
Gateway,0.05,4,1,10.699
Gateway,0.05,4,2,14.6
Gateway,0.05,4,4,16.235
Gateway,0.05,4,8,16.366
Gateway,0.05,4,16,16.933
Gateway,0.05,4,32,17.367
Gateway,0.05,4,48,16.62888889
Gateway,0.05,8,1,10.14777778
Gateway,0.05,8,2,14.03777778
Gateway,0.05,8,4,15.44444444
Gateway,0.05,8,8,16.11222222
Gateway,0.05,8,16,16.88888889
Gateway,0.05,8,32,17.63
Gateway,0.05,8,48,17.33444444
Gateway,0.05,16,1,10.37
Gateway,0.05,16,2,13.88777778
Gateway,0.05,16,4,15.66777778
Gateway,0.05,16,8,16.00111111
Gateway,0.05,16,16,16.88777778
Gateway,0.05,16,32,16.55555556
Gateway,0.05,16,48,16.89111111
Gateway,0.05,32,1,14.51777778
Gateway,0.05,32,2,17.81555556
Gateway,0.05,32,4,20.37111111
Gateway,0.05,32,8,21.37111111
Gateway,0.05,32,16,22.81444444
Gateway,0.05,32,32,22.74
Gateway,0.05,32,48,23.20875
Gateway,0.05,64,1,17.37375
Gateway,0.05,64,2,24.125
Gateway,0.05,64,4,25.5825
Gateway,0.05,64,8,26.66625
Gateway,0.05,64,16,28.5425
Gateway,0.05,64,32,27.54125
Gateway,0.05,64,48,28
Gateway,0.05,128,1,20.62625
Gateway,0.05,128,2,26.5425
Gateway,0.05,128,4,28.75
Gateway,0.05,128,8,29.62375
Gateway,0.05,128,16,31.95875
Gateway,0.05,128,32,31.29125
Gateway,0.05,128,48,32.5825
Gateway,0.05,256,1,22.54125
Gateway,0.05,256,2,25.58375
Gateway,0.05,256,4,30
Gateway,0.05,256,8,34.08375
Gateway,0.05,256,16,34.83375
Gateway,0.05,256,32,37.16625
Gateway,0.05,256,48,33.95875
Gateway,0.05,512,1,21.75
Gateway,0.05,512,2,25.2075
Gateway,0.05,512,4,30.62375
Gateway,0.05,512,8,36.54125
Gateway,0.05,512,16,33.95875
Gateway,0.05,512,32,37.29125
Gateway,0.05,512,48,35.95625
Gateway,0.05,1024,1,26.9175
Gateway,0.05,1024,2,25.91625
Gateway,0.05,1024,4,31.835
Gateway,0.05,1024,8,39.04571429
Gateway,0.05,1024,16,43.47571429
Gateway,0.05,1024,32,40.23714286
Gateway,0.05,1024,48,36.23714286
Gateway,0.1,1,1,15
Gateway,0.1,1,2,29.601
Gateway,0.1,1,4,40.3
Gateway,0.1,1,8,45.466
Gateway,0.1,1,16,47.267
Gateway,0.1,1,32,48.133
Gateway,0.1,1,48,49.132
Gateway,0.1,2,1,16.134
Gateway,0.1,2,2,30.267
Gateway,0.1,2,4,41.267
Gateway,0.1,2,8,44.801
Gateway,0.1,2,16,46.033
Gateway,0.1,2,32,45.667
Gateway,0.1,2,48,46.865
Gateway,0.1,4,1,16.532
Gateway,0.1,4,2,29.267
Gateway,0.1,4,4,40.765
Gateway,0.1,4,8,43.9
Gateway,0.1,4,16,47.434
Gateway,0.1,4,32,46.999
Gateway,0.1,4,48,46.22222222
Gateway,0.1,8,1,16.62888889
Gateway,0.1,8,2,30.07444444
Gateway,0.1,8,4,40.07444444
Gateway,0.1,8,8,43.07333333
Gateway,0.1,8,16,44.70444444
Gateway,0.1,8,32,45
Gateway,0.1,8,48,45.74
Gateway,0.1,16,1,17.33444444
Gateway,0.1,16,2,31.33333333
Gateway,0.1,16,4,40.25777778
Gateway,0.1,16,8,43.66666667
Gateway,0.1,16,16,45.37111111
Gateway,0.1,16,32,47.18444444
Gateway,0.1,16,48,48.07333333
Gateway,0.1,32,1,21.92555556
Gateway,0.1,32,2,39.29666667
Gateway,0.1,32,4,49.25888889
Gateway,0.1,32,8,55.74
Gateway,0.1,32,16,59.44555556
Gateway,0.1,32,32,59.70875
Gateway,0.1,32,48,60.62625
Gateway,0.1,64,1,34.5425
Gateway,0.1,64,2,54.625
Gateway,0.1,64,4,67.25125
Gateway,0.1,64,8,74.33375
Gateway,0.1,64,16,76.1675
Gateway,0.1,64,32,75.9175
Gateway,0.1,64,48,78.0825
Gateway,0.1,128,1,42.8325
Gateway,0.1,128,2,68.37375
Gateway,0.1,128,4,83
Gateway,0.1,128,8,87.20875
Gateway,0.1,128,16,97.2925
Gateway,0.1,128,32,96.41625
Gateway,0.1,128,48,98.6675
Gateway,0.1,256,1,64.1675
Gateway,0.1,256,2,76.08375
Gateway,0.1,256,4,96.91625
Gateway,0.1,256,8,121.0825
Gateway,0.1,256,16,127.375
Gateway,0.1,256,32,127.0825
Gateway,0.1,256,48,132.9175
Gateway,0.1,512,1,72.3325
Gateway,0.1,512,2,79.0025
Gateway,0.1,512,4,121.625
Gateway,0.1,512,8,129.625
Gateway,0.1,512,16,142.12625
Gateway,0.1,512,32,139.33375
Gateway,0.1,512,48,148.70875
Gateway,0.1,1024,1,92.96
Gateway,0.1,1024,2,95.75125
Gateway,0.1,1024,4,120.04
Gateway,0.1,1024,8,155.3314286
Gateway,0.1,1024,16,163.3314286
Gateway,0.1,1024,32,165.9514286
Gateway,0.1,1024,48,159.5228571
Gateway,0.25,1,1,19.233
Gateway,0.25,1,2,37.267
Gateway,0.25,1,4,77.068
Gateway,0.25,1,8,120.067
Gateway,0.25,1,16,136.065
Gateway,0.25,1,32,141.634
Gateway,0.25,1,48,143.767
Gateway,0.25,2,1,18.001
Gateway,0.25,2,2,42.7
Gateway,0.25,2,4,82
Gateway,0.25,2,8,121.433
Gateway,0.25,2,16,135.332
Gateway,0.25,2,32,134.199
Gateway,0.25,2,48,138.7
Gateway,0.25,4,1,19.034
Gateway,0.25,4,2,41.8
Gateway,0.25,4,4,76.267
Gateway,0.25,4,8,116.967
Gateway,0.25,4,16,130.768
Gateway,0.25,4,32,138.2966667
Gateway,0.25,4,48,137.4455556
Gateway,0.25,8,1,19.55444444
Gateway,0.25,8,2,44.74
Gateway,0.25,8,4,84.00111111
Gateway,0.25,8,8,116.6666667
Gateway,0.25,8,16,133.2222222
Gateway,0.25,8,32,138.0755556
Gateway,0.25,8,48,140.2211111
Gateway,0.25,16,1,23.22222222
Gateway,0.25,16,2,50.81444444
Gateway,0.25,16,4,102.1844444
Gateway,0.25,16,8,133.1855556
Gateway,0.25,16,16,151.37
Gateway,0.25,16,32,160.26
Gateway,0.25,16,48,158.5922222
Gateway,0.25,32,1,27.63
Gateway,0.25,32,2,57.59444444
Gateway,0.25,32,4,114.1488889
Gateway,0.25,32,8,149.0377778
Gateway,0.25,32,16,168.2222222
Gateway,0.25,32,32,175.04125
Gateway,0.25,32,48,173.37375
Gateway,0.25,64,1,39.58375
Gateway,0.25,64,2,79.625
Gateway,0.25,64,4,152.125
Gateway,0.25,64,8,198.25125
Gateway,0.25,64,16,227.41625
Gateway,0.25,64,32,232.375
Gateway,0.25,64,48,234.66625
Gateway,0.25,128,1,51.49875
Gateway,0.25,128,2,107.95875
Gateway,0.25,128,4,222.3325
Gateway,0.25,128,8,285.16625
Gateway,0.25,128,16,321.12375
Gateway,0.25,128,32,341.375
Gateway,0.25,128,48,345.335
Gateway,0.25,256,1,64.54
Gateway,0.25,256,2,142.29375
Gateway,0.25,256,4,275.4175
Gateway,0.25,256,8,383.1225
Gateway,0.25,256,16,454.375
Gateway,0.25,256,32,470.6675
Gateway,0.25,256,48,479.79125
Gateway,0.25,512,1,66.95875
Gateway,0.25,512,2,183.75
Gateway,0.25,512,4,368.4575
Gateway,0.25,512,8,474.16625
Gateway,0.25,512,16,542.71
Gateway,0.25,512,32,605.62625
Gateway,0.25,512,48,594.4175
Gateway,0.25,1024,1,126.085
Gateway,0.25,1024,2,227.08375
Gateway,0.25,1024,4,414.83375
Gateway,0.25,1024,8,517.4757143
Gateway,0.25,1024,16,593.62
Gateway,0.25,1024,32,612.19
Gateway,0.25,1024,48,648.3342857
Gateway,0.5,1,1,16.365
Gateway,0.5,1,2,39.701
Gateway,0.5,1,4,93.467
Gateway,0.5,1,8,201.667
Gateway,0.5,1,16,279.067
Gateway,0.5,1,32,303.134
Gateway,0.5,1,48,305.3327273
Gateway,0.5,2,1,19.868
Gateway,0.5,2,2,44
Gateway,0.5,2,4,101.732
Gateway,0.5,2,8,195.501
Gateway,0.5,2,16,285.201
Gateway,0.5,2,32,278.4
Gateway,0.5,2,48,286.267
Gateway,0.5,4,1,19.534
Gateway,0.5,4,2,42.433
Gateway,0.5,4,4,98.534
Gateway,0.5,4,8,184.566
Gateway,0.5,4,16,265.933
Gateway,0.5,4,32,284.0744444
Gateway,0.5,4,48,289.7766667
Gateway,0.5,8,1,21.70333333
Gateway,0.5,8,2,47.96333333
Gateway,0.5,8,4,102
Gateway,0.5,8,8,197.4811111
Gateway,0.5,8,16,272.1844444
Gateway,0.5,8,32,282.9633333
Gateway,0.5,8,48,281.5188889
Gateway,0.5,16,1,22.74
Gateway,0.5,16,2,52.77888889
Gateway,0.5,16,4,113.48
Gateway,0.5,16,8,224.5922222
Gateway,0.5,16,16,291.3333333
Gateway,0.5,16,32,307.2222222
Gateway,0.5,16,48,304.3355556
Gateway,0.5,32,1,28.11111111
Gateway,0.5,32,2,64
Gateway,0.5,32,4,159.2955556
Gateway,0.5,32,8,292.6655556
Gateway,0.5,32,16,364.3333333
Gateway,0.5,32,32,366.4175
Gateway,0.5,32,48,359.9575
Gateway,0.5,64,1,38.83375
Gateway,0.5,64,2,81.875
Gateway,0.5,64,4,202.0425
Gateway,0.5,64,8,371.95875
Gateway,0.5,64,16,453.79125
Gateway,0.5,64,32,469.04125
Gateway,0.5,64,48,467.5
Gateway,0.5,128,1,54.20875
Gateway,0.5,128,2,119.625
Gateway,0.5,128,4,282.08375
Gateway,0.5,128,8,537.08125
Gateway,0.5,128,16,659.7925
Gateway,0.5,128,32,698.16625
Gateway,0.5,128,48,697.74875
Gateway,0.5,256,1,82.83375
Gateway,0.5,256,2,151.125
Gateway,0.5,256,4,409.9575
Gateway,0.5,256,8,800.5
Gateway,0.5,256,16,1019.7075
Gateway,0.5,256,32,1084.12375
Gateway,0.5,256,48,1120.33375
Gateway,0.5,512,1,64.25
Gateway,0.5,512,2,297.0425
Gateway,0.5,512,4,596.83375
Gateway,0.5,512,8,1082.2075
Gateway,0.5,512,16,1310.665
Gateway,0.5,512,32,1416.2075
Gateway,0.5,512,48,1454.25125
Gateway,0.5,1024,1,127.4575
Gateway,0.5,1024,2,407.49875
Gateway,0.5,1024,4,956.62375
Gateway,0.5,1024,8,1241.047143
Gateway,0.5,1024,16,1441.237143
Gateway,0.5,1024,32,1523.428571
Gateway,0.5,1024,48,1554.238571
Gateway,1,1,1,17.201
Gateway,1,1,2,41.934
Gateway,1,1,4,98.401
Gateway,1,1,8,208.866
Gateway,1,1,16,331.567
Gateway,1,1,32,373.7
Gateway,1,1,48,377.366
Gateway,1,2,1,18.967
Gateway,1,2,2,45.3
Gateway,1,2,4,99.101
Gateway,1,2,8,206.967
Gateway,1,2,16,331.034
Gateway,1,2,32,351.866
Gateway,1,2,48,349.1
Gateway,1,4,1,18.8
