Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Gpu1,0.05,1,1,8.030909091
Gpu1,0.05,1,2,10.7
Gpu1,0.05,1,4,12.532
Gpu1,0.05,1,8,13.7
Gpu1,0.05,1,16,14.366
Gpu1,0.05,1,32,14.468
Gpu1,0.05,1,48,14.268
Gpu1,0.05,2,1,8.7
Gpu1,0.05,2,2,10.435
Gpu1,0.05,2,4,12.233
Gpu1,0.05,2,8,13.834
Gpu1,0.05,2,16,14.201
Gpu1,0.05,2,32,14.434
Gpu1,0.05,2,48,14.832
Gpu1,0.05,4,1,8.3
Gpu1,0.05,4,2,10.233
Gpu1,0.05,4,4,12.634
Gpu1,0.05,4,8,14.032
Gpu1,0.05,4,16,14.502
Gpu1,0.05,4,32,14.466
Gpu1,0.05,4,48,15.133
Gpu1,0.05,8,1,7.933
Gpu1,0.05,8,2,10.6
Gpu1,0.05,8,4,12.366
Gpu1,0.05,8,8,13.599
Gpu1,0.05,8,16,13.9
Gpu1,0.05,8,32,14.534
Gpu1,0.05,8,48,14.6
Gpu1,0.05,16,1,7.867
Gpu1,0.05,16,2,10.133
Gpu1,0.05,16,4,12.067
Gpu1,0.05,16,8,12.767
Gpu1,0.05,16,16,13.9
Gpu1,0.05,16,32,14.501
Gpu1,0.05,16,48,14.166
Gpu1,0.05,32,1,10.335
Gpu1,0.05,32,2,13.066
Gpu1,0.05,32,4,15.266
Gpu1,0.05,32,8,16.733
Gpu1,0.05,32,16,17.266
Gpu1,0.05,32,32,16.767
Gpu1,0.05,32,48,18.102
Gpu1,0.05,64,1,10.733
Gpu1,0.05,64,2,15.767
Gpu1,0.05,64,4,16.968
Gpu1,0.05,64,8,17.96111111
Gpu1,0.05,64,16,19.40777778
Gpu1,0.05,64,32,20.11
Gpu1,0.05,64,48,20.25888889
Gpu1,0.05,128,1,11.96333333
Gpu1,0.05,128,2,17.11
Gpu1,0.05,128,4,19.14777778
Gpu1,0.05,128,8,20.59333333
Gpu1,0.05,128,16,21.51888889
Gpu1,0.05,128,32,23.55666667
Gpu1,0.05,128,48,21.96222222
Gpu1,0.05,256,1,13.37
Gpu1,0.05,256,2,14.51666667
Gpu1,0.05,256,4,19.18666667
Gpu1,0.05,256,8,21.29555556
Gpu1,0.05,256,16,21.77888889
Gpu1,0.05,256,32,23.40666667
Gpu1,0.05,256,48,21.85444444
Gpu1,0.05,512,1,12.07222222
Gpu1,0.05,512,2,16.14666667
Gpu1,0.05,512,4,18.40666667
Gpu1,0.05,512,8,20.74111111
Gpu1,0.05,512,16,23.07333333
Gpu1,0.05,512,32,23.55555556
Gpu1,0.05,512,48,22.70333333
Gpu1,0.05,1024,1,17.03555556
Gpu1,0.05,1024,2,18.22111111
Gpu1,0.05,1024,4,21.88777778
Gpu1,0.05,1024,8,23.95875
Gpu1,0.05,1024,16,24.29
Gpu1,0.05,1024,32,26.91625
Gpu1,0.05,1024,48,25.08375
Gpu1,0.1,1,1,15.664
Gpu1,0.1,1,2,25.567
Gpu1,0.1,1,4,34.033
Gpu1,0.1,1,8,40.601
Gpu1,0.1,1,16,42.933
Gpu1,0.1,1,32,45.965
Gpu1,0.1,1,48,48.734
Gpu1,0.1,2,1,16.001
Gpu1,0.1,2,2,28.167
Gpu1,0.1,2,4,33.8
Gpu1,0.1,2,8,39.865
Gpu1,0.1,2,16,42.5
Gpu1,0.1,2,32,45.666
Gpu1,0.1,2,48,46.166
Gpu1,0.1,4,1,15.733
Gpu1,0.1,4,2,27.634
Gpu1,0.1,4,4,35.533
Gpu1,0.1,4,8,39.435
Gpu1,0.1,4,16,42.868
Gpu1,0.1,4,32,47.301
Gpu1,0.1,4,48,46.501
Gpu1,0.1,8,1,15.7
Gpu1,0.1,8,2,27.302
Gpu1,0.1,8,4,35.133
Gpu1,0.1,8,8,37.934
Gpu1,0.1,8,16,41.832
Gpu1,0.1,8,32,45.2
Gpu1,0.1,8,48,47.066
Gpu1,0.1,16,1,15.201
Gpu1,0.1,16,2,26.532
Gpu1,0.1,16,4,32.567
Gpu1,0.1,16,8,38.1
Gpu1,0.1,16,16,42.466
Gpu1,0.1,16,32,44.767
Gpu1,0.1,16,48,44.5
Gpu1,0.1,32,1,21.833
Gpu1,0.1,32,2,36.367
Gpu1,0.1,32,4,44.6
Gpu1,0.1,32,8,51.067
Gpu1,0.1,32,16,54.134
Gpu1,0.1,32,32,59.066
Gpu1,0.1,32,48,60.099
Gpu1,0.1,64,1,31.933
Gpu1,0.1,64,2,49.8
Gpu1,0.1,64,4,58.368
Gpu1,0.1,64,8,63.77777778
Gpu1,0.1,64,16,70
Gpu1,0.1,64,32,71.66888889
Gpu1,0.1,64,48,70.77888889
Gpu1,0.1,128,1,39.55555556
Gpu1,0.1,128,2,56.59333333
Gpu1,0.1,128,4,69.44333333
Gpu1,0.1,128,8,75.85222222
Gpu1,0.1,128,16,77.92555556
Gpu1,0.1,128,32,80.07444444
Gpu1,0.1,128,48,83.14777778
Gpu1,0.1,256,1,50.59333333
Gpu1,0.1,256,2,59.77666667
Gpu1,0.1,256,4,76.55555556
Gpu1,0.1,256,8,89.70222222
Gpu1,0.1,256,16,86.44444444
Gpu1,0.1,256,32,91.51888889
Gpu1,0.1,256,48,91.18555556
Gpu1,0.1,512,1,50.59222222
Gpu1,0.1,512,2,63.62888889
Gpu1,0.1,512,4,83.07333333
Gpu1,0.1,512,8,92.37
Gpu1,0.1,512,16,95.96333333
Gpu1,0.1,512,32,97.03777778
Gpu1,0.1,512,48,91.92555556
Gpu1,0.1,1024,1,62.07333333
Gpu1,0.1,1024,2,68.92333333
Gpu1,0.1,1024,4,84.12375
Gpu1,0.1,1024,8,91.5
Gpu1,0.1,1024,16,95.66625
Gpu1,0.1,1024,32,94.4575
Gpu1,0.1,1024,48,98.29375
Gpu1,0.25,1,1,17.468
Gpu1,0.25,1,2,37.5
Gpu1,0.25,1,4,81.235
Gpu1,0.25,1,8,114.6
Gpu1,0.25,1,16,129.3
Gpu1,0.25,1,32,145.168
Gpu1,0.25,1,48,145.765
Gpu1,0.25,2,1,19.199
Gpu1,0.25,2,2,42.266
Gpu1,0.25,2,4,83.734
Gpu1,0.25,2,8,114.666
Gpu1,0.25,2,16,132.499
Gpu1,0.25,2,32,146.2
